Date,Order ID,Customer ID,Product ID,Order quantities,Fullfillment Status,Delivery Date,Ontime Deliery
01-Sep-23,Order No. 1 - SKU1,Customer-001,SKU0,96,Pending,02-Sep-23,TRUE
02-Sep-23,Order No. 2 - SKU2,Customer-002,SKU1,37,Pending,03-Sep-23,TRUE
03-Sep-23,Order No. 3 - SKU3,Customer-003,SKU2,88,Pending,04-Sep-23,TRUE
04-Sep-23,Order No. 4 - SKU4,Customer-004,SKU3,59,Fail,N/A,FALSE
05-Sep-23,Order No. 5 - SKU5,Customer-005,SKU4,56,Fail,N/A,FALSE
06-Sep-23,Order No. 6 - SKU6,Customer-006,SKU5,66,Fail,N/A,FALSE
07-Sep-23,Order No. 7 - SKU7,Customer-007,SKU6,58,Pending,08-Sep-23,TRUE
08-Sep-23,Order No. 8 - SKU8,Customer-008,SKU7,11,Fail,N/A,FALSE
09-Sep-23,Order No. 9 - SKU9,Customer-009,SKU8,15,Pending,10-Sep-23,TRUE
10-Sep-23,Order No. 10 - SKU10,Customer-010,SKU9,83,Pending,11-Sep-23,TRUE
11-Sep-23,Order No. 11 - SKU11,Customer-011,SKU10,80,Pass,11-Sep-23,TRUE
12-Sep-23,Order No. 12 - SKU12,Customer-012,SKU11,60,Pending,13-Sep-23,TRUE
13-Sep-23,Order No. 13 - SKU13,Customer-013,SKU12,85,Fail,N/A,FALSE
14-Sep-23,Order No. 14 - SKU14,Customer-014,SKU13,48,Pending,15-Sep-23,TRUE
15-Sep-23,Order No. 15 - SKU15,Customer-015,SKU14,78,Pending,16-Sep-23,TRUE
16-Sep-23,Order No. 16 - SKU16,Customer-016,SKU15,69,Pass,16-Sep-23,TRUE
17-Sep-23,Order No. 17 - SKU17,Customer-017,SKU16,78,Pass,17-Sep-23,TRUE
18-Sep-23,Order No. 18 - SKU18,Customer-018,SKU17,85,Fail,N/A,FALSE
19-Sep-23,Order No. 19 - SKU19,Customer-019,SKU18,46,Pending,20-Sep-23,TRUE
20-Sep-23,Order No. 20 - SKU20,Customer-020,SKU19,94,Fail,N/A,FALSE
21-Sep-23,Order No. 21 - SKU21,Customer-021,SKU20,68,Pass,21-Sep-23,TRUE
22-Sep-23,Order No. 22 - SKU22,Customer-022,SKU21,7,Pending,23-Sep-23,TRUE
23-Sep-23,Order No. 23 - SKU23,Customer-023,SKU22,63,Fail,N/A,FALSE
24-Sep-23,Order No. 24 - SKU24,Customer-024,SKU23,29,Pending,25-Sep-23,TRUE
25-Sep-23,Order No. 25 - SKU25,Customer-025,SKU24,2,Pending,26-Sep-23,TRUE
26-Sep-23,Order No. 26 - SKU26,Customer-026,SKU25,52,Pending,27-Sep-23,TRUE
27-Sep-23,Order No. 27 - SKU27,Customer-027,SKU26,48,Pass,27-Sep-23,TRUE
28-Sep-23,Order No. 28 - SKU28,Customer-028,SKU27,62,Fail,N/A,FALSE
29-Sep-23,Order No. 29 - SKU29,Customer-029,SKU28,24,Fail,N/A,FALSE
30-Sep-23,Order No. 30 - SKU30,Customer-030,SKU29,67,Pass,30-Sep-23,TRUE
01-Oct-23,Order No. 31 - SKU31,Customer-031,SKU30,35,Pending,02-Oct-23,TRUE
02-Oct-23,Order No. 32 - SKU32,Customer-032,SKU31,44,Pending,03-Oct-23,TRUE
03-Oct-23,Order No. 33 - SKU33,Customer-033,SKU32,64,Pass,03-Oct-23,TRUE
04-Oct-23,Order No. 34 - SKU34,Customer-034,SKU33,95,Fail,N/A,FALSE
05-Oct-23,Order No. 35 - SKU35,Customer-035,SKU34,21,Pass,05-Oct-23,TRUE
06-Oct-23,Order No. 36 - SKU36,Customer-036,SKU35,85,Pass,06-Oct-23,TRUE
07-Oct-23,Order No. 37 - SKU37,Customer-037,SKU36,28,Fail,N/A,FALSE
08-Oct-23,Order No. 38 - SKU38,Customer-038,SKU37,21,Pending,09-Oct-23,TRUE
09-Oct-23,Order No. 39 - SKU39,Customer-039,SKU38,88,Pending,10-Oct-23,TRUE
10-Oct-23,Order No. 40 - SKU40,Customer-040,SKU39,34,Fail,N/A,FALSE
11-Oct-23,Order No. 41 - SKU41,Customer-041,SKU40,39,Pending,12-Oct-23,TRUE
12-Oct-23,Order No. 42 - SKU42,Customer-042,SKU41,38,Fail,N/A,FALSE
13-Oct-23,Order No. 43 - SKU43,Customer-043,SKU42,57,Fail,N/A,FALSE
14-Oct-23,Order No. 44 - SKU44,Customer-044,SKU43,85,Pending,15-Oct-23,TRUE
15-Oct-23,Order No. 45 - SKU45,Customer-045,SKU44,72,Fail,N/A,FALSE
16-Oct-23,Order No. 46 - SKU46,Customer-046,SKU45,52,Pass,16-Oct-23,TRUE
17-Oct-23,Order No. 47 - SKU47,Customer-047,SKU46,6,Pending,18-Oct-23,TRUE
18-Oct-23,Order No. 48 - SKU48,Customer-048,SKU47,51,Pending,19-Oct-23,TRUE
19-Oct-23,Order No. 49 - SKU49,Customer-049,SKU48,9,Fail,N/A,FALSE
20-Oct-23,Order No. 50 - SKU50,Customer-050,SKU49,9,Pass,20-Oct-23,TRUE
21-Oct-23,Order No. 51 - SKU51,Customer-051,SKU50,82,Fail,N/A,FALSE
22-Oct-23,Order No. 52 - SKU52,Customer-052,SKU51,52,Pending,23-Oct-23,TRUE
23-Oct-23,Order No. 53 - SKU53,Customer-053,SKU52,11,Pending,24-Oct-23,TRUE
24-Oct-23,Order No. 54 - SKU54,Customer-054,SKU53,54,Pending,25-Oct-23,TRUE
25-Oct-23,Order No. 55 - SKU55,Customer-055,SKU54,61,Pass,25-Oct-23,TRUE
26-Oct-23,Order No. 56 - SKU56,Customer-056,SKU55,11,Fail,N/A,FALSE
27-Oct-23,Order No. 57 - SKU57,Customer-057,SKU56,83,Pass,27-Oct-23,TRUE
28-Oct-23,Order No. 58 - SKU58,Customer-058,SKU57,51,Pending,29-Oct-23,TRUE
29-Oct-23,Order No. 59 - SKU59,Customer-059,SKU58,44,Fail,N/A,FALSE
30-Oct-23,Order No. 60 - SKU60,Customer-060,SKU59,26,Fail,N/A,FALSE
31-Oct-23,Order No. 61 - SKU61,Customer-061,SKU60,72,Fail,N/A,FALSE
01-Nov-23,Order No. 62 - SKU62,Customer-062,SKU61,36,Fail,N/A,FALSE
02-Nov-23,Order No. 63 - SKU63,Customer-063,SKU62,40,Pass,02-Nov-23,TRUE
03-Nov-23,Order No. 64 - SKU64,Customer-064,SKU63,10,Pending,04-Nov-23,TRUE
04-Nov-23,Order No. 65 - SKU65,Customer-065,SKU64,75,Fail,N/A,FALSE
05-Nov-23,Order No. 66 - SKU66,Customer-066,SKU65,54,Fail,N/A,FALSE
06-Nov-23,Order No. 67 - SKU67,Customer-067,SKU66,19,Fail,N/A,FALSE
07-Nov-23,Order No. 68 - SKU68,Customer-068,SKU67,71,Pass,07-Nov-23,TRUE
08-Nov-23,Order No. 69 - SKU69,Customer-069,SKU68,58,Fail,N/A,FALSE
09-Nov-23,Order No. 70 - SKU70,Customer-070,SKU69,27,Pending,10-Nov-23,TRUE
10-Nov-23,Order No. 71 - SKU71,Customer-071,SKU70,22,Pass,10-Nov-23,TRUE
11-Nov-23,Order No. 72 - SKU72,Customer-072,SKU71,26,Pending,12-Nov-23,TRUE
12-Nov-23,Order No. 73 - SKU73,Customer-073,SKU72,77,Pending,13-Nov-23,TRUE
13-Nov-23,Order No. 74 - SKU74,Customer-074,SKU73,66,Fail,N/A,FALSE
14-Nov-23,Order No. 75 - SKU75,Customer-075,SKU74,1,Fail,N/A,FALSE
15-Nov-23,Order No. 76 - SKU76,Customer-076,SKU75,56,Pass,15-Nov-23,TRUE
16-Nov-23,Order No. 77 - SKU77,Customer-077,SKU76,22,Pending,17-Nov-23,TRUE
17-Nov-23,Order No. 78 - SKU78,Customer-078,SKU77,57,Pass,17-Nov-23,TRUE
18-Nov-23,Order No. 79 - SKU79,Customer-079,SKU78,51,Pending,19-Nov-23,TRUE
19-Nov-23,Order No. 80 - SKU80,Customer-080,SKU79,20,Pending,20-Nov-23,TRUE
20-Nov-23,Order No. 81 - SKU81,Customer-081,SKU80,41,Fail,N/A,FALSE
21-Nov-23,Order No. 82 - SKU82,Customer-082,SKU81,8,Pending,22-Nov-23,TRUE
22-Nov-23,Order No. 83 - SKU83,Customer-083,SKU82,72,Pending,23-Nov-23,TRUE
23-Nov-23,Order No. 84 - SKU84,Customer-084,SKU83,7,Fail,N/A,FALSE
24-Nov-23,Order No. 85 - SKU85,Customer-085,SKU84,80,Pass,24-Nov-23,TRUE
25-Nov-23,Order No. 86 - SKU86,Customer-086,SKU85,66,Fail,N/A,FALSE
26-Nov-23,Order No. 87 - SKU87,Customer-087,SKU86,22,Pass,26-Nov-23,TRUE
27-Nov-23,Order No. 88 - SKU88,Customer-088,SKU87,55,Fail,N/A,FALSE
28-Nov-23,Order No. 89 - SKU89,Customer-089,SKU88,85,Pending,29-Nov-23,TRUE
29-Nov-23,Order No. 90 - SKU90,Customer-090,SKU89,27,Pending,30-Nov-23,TRUE
30-Nov-23,Order No. 91 - SKU91,Customer-091,SKU90,96,Pass,30-Nov-23,TRUE
01-Dec-23,Order No. 92 - SKU92,Customer-092,SKU91,85,Pending,02-Dec-23,TRUE
02-Dec-23,Order No. 93 - SKU93,Customer-093,SKU92,10,Pass,02-Dec-23,TRUE
03-Dec-23,Order No. 94 - SKU94,Customer-094,SKU93,66,Fail,N/A,FALSE
04-Dec-23,Order No. 95 - SKU95,Customer-095,SKU94,72,Pass,04-Dec-23,TRUE
05-Dec-23,Order No. 96 - SKU96,Customer-096,SKU95,26,Pending,06-Dec-23,TRUE
06-Dec-23,Order No. 97 - SKU97,Customer-097,SKU96,32,Pending,07-Dec-23,TRUE
07-Dec-23,Order No. 98 - SKU98,Customer-098,SKU97,4,Fail,N/A,FALSE
08-Dec-23,Order No. 99 - SKU99,Customer-099,SKU98,27,Pending,09-Dec-23,TRUE
09-Dec-23,Order No. 100 - SKU100,Customer-100,SKU99,59,Fail,N/A,FALSE
